empty_slots,free_bikes,Latitude,Longitude,Bike_station,Total_bikes,Category,Rating,Restaurant_name,Location,Distance
11,7,49.29,-123.11,Cordova & Granville,18,Flower Store,-1.0,Cariboo Rose Resources Ltd ,325 Howe St ,826.0
11,7,49.29,-123.11,Cordova & Granville,18,Flower Store,-1.0,Flowerz ,880 Cordova St W ,862.0
11,7,49.29,-123.11,Cordova & Granville,18,"Japanese, Sushi Bars, Vegetarian",4.5, Miku, 200 Granville Street,3517.85
11,8,49.28,-123.12,Granville & Georgia,19,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Fleurs d'Amour ,437 Robson St ,214.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Bonus Eventus Florist ,345 Robson St ,334.0
11,8,49.28,-123.12,Granville & Georgia,19,Flower Store,-1.0,Granville Station Flowers ,655 Seymour St ,380.0
11,8,49.28,-123.12,Granville & Georgia,19,Seafood,4.5, Blue Water Cafe, 1095 Hamilton St,2244.53
11,8,49.28,-123.12,Granville & Georgia,19,"Seafood, Steakhouses",4.0, Joe Fortes Seafood & Chop House, 777 Thurlow Street,3206.83
11,8,49.28,-123.12,Granville & Georgia,19,Italian,4.5, Lupo, 869 Hamilton Street,2499.67
11,8,49.28,-123.12,Granville & Georgia,19,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.0, Medina Cafe, 780 Richards Street,2749.8
11,8,49.28,-123.12,Granville & Georgia,19,"Canadian (New), Seafood",4.0, The Flying Pig, 1168 Hamilton Street,2108.81
11,17,49.28,-123.12,Robson & Hornby,28,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Fleurs d'Amour ,437 Robson St ,214.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Bonus Eventus Florist ,345 Robson St ,334.0
11,17,49.28,-123.12,Robson & Hornby,28,Flower Store,-1.0,Granville Station Flowers ,655 Seymour St ,380.0
11,17,49.28,-123.12,Robson & Hornby,28,Seafood,4.5, Blue Water Cafe, 1095 Hamilton St,2244.53
11,17,49.28,-123.12,Robson & Hornby,28,"Seafood, Steakhouses",4.0, Joe Fortes Seafood & Chop House, 777 Thurlow Street,3206.83
11,17,49.28,-123.12,Robson & Hornby,28,Italian,4.5, Lupo, 869 Hamilton Street,2499.67
11,17,49.28,-123.12,Robson & Hornby,28,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.0, Medina Cafe, 780 Richards Street,2749.8
11,17,49.28,-123.12,Robson & Hornby,28,"Canadian (New), Seafood",4.0, The Flying Pig, 1168 Hamilton Street,2108.81
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Fleurs d'Amour ,437 Robson St ,214.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Bonus Eventus Florist ,345 Robson St ,334.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Flower Store,-1.0,Granville Station Flowers ,655 Seymour St ,380.0
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Seafood,4.5, Blue Water Cafe, 1095 Hamilton St,2244.53
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,"Seafood, Steakhouses",4.0, Joe Fortes Seafood & Chop House, 777 Thurlow Street,3206.83
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,Italian,4.5, Lupo, 869 Hamilton Street,2499.67
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.0, Medina Cafe, 780 Richards Street,2749.8
18,1,49.28,-123.12,Homer & Robson (Vancouver Public Library),19,"Canadian (New), Seafood",4.0, The Flying Pig, 1168 Hamilton Street,2108.81
12,2,49.28,-123.12,Beatty & Nelson,14,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Fleurs d'Amour ,437 Robson St ,214.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Bonus Eventus Florist ,345 Robson St ,334.0
12,2,49.28,-123.12,Beatty & Nelson,14,Flower Store,-1.0,Granville Station Flowers ,655 Seymour St ,380.0
12,2,49.28,-123.12,Beatty & Nelson,14,Seafood,4.5, Blue Water Cafe, 1095 Hamilton St,2244.53
12,2,49.28,-123.12,Beatty & Nelson,14,"Seafood, Steakhouses",4.0, Joe Fortes Seafood & Chop House, 777 Thurlow Street,3206.83
12,2,49.28,-123.12,Beatty & Nelson,14,Italian,4.5, Lupo, 869 Hamilton Street,2499.67
12,2,49.28,-123.12,Beatty & Nelson,14,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.0, Medina Cafe, 780 Richards Street,2749.8
12,2,49.28,-123.12,Beatty & Nelson,14,"Canadian (New), Seafood",4.0, The Flying Pig, 1168 Hamilton Street,2108.81
10,4,49.28,-123.12,Hornby & Nelson,14,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
